NOC,Weight,TotalScore,Gold,Silver,Bronze,NoMedal
MDA,0.0,0.10923349174959354,0.028914747816068877,0.0240956231800574,0.05622312075346727,18.246162890039724
BAH,0.0,0.10213801993514493,0.02703653468871483,0.02253044557392903,0.05257103967250106,19.521747840545427
DOM,0.0,0.5286070650968618,0.02686216150743146,0.44951292288053585,0.05223198070889451,16.46197322376422
UGA,0.0,0.5124156942579642,0.023087963687946238,0.44443446784345586,0.044893262726562126,13.633776252871929
CYP,0.0,0.4602276727666868,0.019471064812922892,0.4028962041508583,0.037860403802905625,12.183110521255943
ISL,0.0,0.07260671128301477,0.019219423574915677,0.01601618631242973,0.03737110139566937,12.34434244814991
CMR,0.0,0.07232810375507671,0.01914567452340266,0.015954728769502217,0.03722770046217184,10.925397328832851
BEN,0.0,0.06785347678303293,0.017961214442567538,0.014967678702139617,0.03492458363832577,3.69890470799351
KSA,0.0,0.06545806338982463,0.017327134426718287,0.014439278688931906,0.033691650274174444,10.378381253354897
SEN,0.0,0.06081143670155049,0.016097145009233954,0.01341428750769496,0.031300004184621574,10.136833074607008
MRI,0.0,0.059482657195473146,0.015745409257625242,0.013121174381354371,0.03061607355649353,9.510392294511629
BAR,0.0,0.057937316330256866,0.015336348440362111,0.012780290366968428,0.029820677522926328,8.951225607180604
GHA,0.0,0.055759664759503585,0.014759911259868596,0.012299926049890497,0.028699827449744492,8.199950699926998
BOL,0.0,0.0529803587593774,0.014024212612776369,0.011686843843980308,0.02726930230262072,7.791229229320204
LUX,0.0,0.05235734052913885,0.013859296022419108,0.011549413352015923,0.02694863115470382,9.871335779623486
ESA,0.0,0.052262526157971424,0.013834198100639494,0.011528498417199579,0.02689982964013235,7.98605398677634
TKM,0.0,0.05042595066919619,0.01334804576537546,0.011123371471146217,0.02595453343267451,7.7159693560740985
CIV,0.0,0.04895327673850594,0.012958220313133926,0.010798516927611605,0.025196539497760413,9.208523677203745
SEY,0.0,0.04311392861100967,0.01141251051467903,0.009510425428899192,0.022190992667431447,7.310550259799453
ERI,0.0,0.04279273798155432,0.011327489465705557,0.00943957455475463,0.022025673961094137,7.7990097404476675
HON,0.0,0.042259398807186696,0.011186311448961183,0.009321926207467654,0.021751161150757856,6.77221106964198
SRI,0.0,0.04214484348371054,0.011155987980982201,0.009296656650818502,0.021692198851909837,7.735530574448404
PAK,0.0,0.04123168549691891,0.010914269690360887,0.009095224741967407,0.021222191064590615,6.063483161311604
CRC,0.0,0.04087377514001319,0.010819528713532903,0.009016273927944086,0.0210379724985362,7.971673820969245
ALB,0.0,0.03987025450018455,0.010553890897107674,0.008794909080923062,0.02052145452215381,6.495571773665724
SAM,0.0,0.0387257238823219,0.010250926910026385,0.008542439091688654,0.01993235788060686,5.694959394459103
BOT,0.0,0.46526586314931273,0.01009537275660966,0.00841281063050805,0.44675767976219505,6.039572449540352
ANG,0.0,0.03786593193362602,0.010023334923606887,0.00835277910300574,0.019489817907013395,9.579192837068248
ZAM,0.0,0.4688534040525347,0.010011540401704056,0.008342950334753381,0.4504989133160772,5.885397044161825
NEP,0.0,0.03776328576486546,0.009996163878934976,0.008330136565779146,0.01943698532015134,5.553424377186097
PAR,0.0,0.03636602884969656,0.009626301754331443,0.008021918128609536,0.018717808966755584,7.098658407302658
LIB,0.0,0.03563746530932363,0.009433446699526844,0.007861205582939037,0.01834281302685775,6.533899809564315
ISV,0.0,0.03528130562808718,0.009339169136846605,0.007782640947372171,0.0181594955438684,6.287153611224525
HAI,0.0,0.03524024533651712,0.009328300236136886,0.007773583530114072,0.018138361570266166,5.613421049277701
TAN,0.0,0.03472649149884317,0.009192306573223194,0.007660255477685995,0.01787392944793399,5.106836985123997
JOR,0.0,0.034566251876949894,0.009149890202722031,0.007624908502268359,0.017791453171959504,5.8377345183734635
FIJ,0.0,0.03424708425049014,0.009065404654541507,0.007554503878784589,0.017627175717164042,6.588993774037286
IRQ,0.0,0.03421401266305721,0.009056650410809261,0.007547208675674385,0.017610153576573563,5.03147245044959
BAN,0.0,0.03411289912871601,0.00902988506348365,0.0075249042195697086,0.017558109845662653,5.340032967372711
CGO,0.0,0.033619086320570125,0.00889916990838621,0.0074159749236551754,0.01730394148852874,6.182145071206903
NCA,0.0,0.03318329590603432,0.008783813622185555,0.007319844685154629,0.017079637598694134,5.20332661109599
MAD,0.0,0.03280865131281059,0.008684642994567511,0.007237202495472926,0.01688680582277016,5.579263847176508
BDI,0.0,0.032460950451792016,0.00859260453135671,0.0071605037761305924,0.016707842144304715,5.950423459739113
COK,0.0,0.03225060260185385,0.008536924218137783,0.00711410351511482,0.016599574868601245,5.88696259398551
PNG,0.0,0.0320967043162737,0.008496186436660684,0.007080155363883903,0.01652036251572911,5.774643771961219
RWA,0.0,0.030397531857883714,0.008046405491792748,0.00670533790982729,0.015645788456263677,4.901257302419846
NIG,0.0,0.030368320583859326,0.008038673095727469,0.0066988942464395575,0.0156307532416923,4.465929497626371
LBA,0.0,0.02973247518078056,0.007870361077265442,0.006558634231054535,0.01530347987246058,4.372422820703022
GUY,0.0,0.029588641890873575,0.007832287559348887,0.006526906299457407,0.01522944803206728,4.782302895506589
MLI,0.0,0.029392766293134698,0.007780438136418008,0.006483698447015007,0.015128629709701684,4.645895785669576
MLT,0.0,0.028752919345669033,0.007611066885618273,0.006342555738015228,0.014799296722035532,5.119894186960406
LES,0.0,0.028676734386702846,0.007590900278833105,0.006325750232360921,0.014760083875508817,5.079230879977253
IOA,0.0,0.028367392774793145,0.007509015734504068,0.006257513112086724,0.014600863928202354,5.456770363938101
DJI,0.0,0.028002674234729158,0.007412472591545953,0.0061770604929549605,0.014413141150228242,4.11804032863664
PLE,0.0,0.026982124800454036,0.007142327153061363,0.005951939294217802,0.01388785835317487,3.967959529478534
GUM,0.0,0.026761039473077678,0.007083804566402915,0.0059031704720024294,0.013774064434672334,4.258877135661191
CAM,0.0,0.025831191711572346,0.006837668394239738,0.005698056995199782,0.013295466322132824,4.113394880715267
MDV,0.0,0.025698029206697094,0.006802419495890407,0.005668682913242007,0.013226926797564681,3.7791219421613373
BER,0.0,0.025186631834050982,0.006667049603131143,0.005555874669275952,0.012963707561643889,4.456111906917595
YEM,0.0,0.024528155474384063,0.006492747037336958,0.005410622531114131,0.012624785905932974,3.6070816874094214
AND,0.0,0.024437542724822882,0.006468761309511939,0.0053906344245932825,0.012578146990717659,3.593756283062188
MNE,0.0,0.0243273377983212,0.006439589417202671,0.005366324514335559,0.01252142386678297,12.868763113024814
BUR,0.0,0.02402396088163438,0.006359283762785571,0.005299403135654642,0.012365273983194166,4.2873976072976525
CAY,0.0,0.023625740522731156,0.0062538724913111885,0.005211560409425991,0.012160307621993978,4.28150336585246
ASA,0.0,0.0229588831506539,0.006077351422231914,0.005064459518526595,0.011817072209895389,3.3763063456843962
ANT,0.0,0.022947634364766267,0.00607437380243813,0.0050619781686984415,0.011811282393629698,3.619315498763406
GAB,0.0,0.022388018382257985,0.005926240160009467,0.004938533466674556,0.011523244755573965,4.276559951907388
TGA,0.0,0.022247208481443327,0.005888966950970293,0.004907472459141911,0.011450769071331125,3.5950784604208446
COD,0.0,0.02211595782555293,0.0058542241302934235,0.004878520108577853,0.011383213586681656,3.2523467390519016
MAW,0.0,0.022020365376310268,0.005828920246670366,0.004857433538891971,0.011334011590747933,3.2382890259279806
PLW,0.0,0.021769290696834302,0.005762459302103198,0.004802049418419331,0.011204781976311773,3.6323983081478732
SMR,0.0,0.02156694593566994,0.00570889745355969,0.004757414544633075,0.011100633937477174,3.6026417256237027
CAF,0.0,0.0214314047349647,0.005673018900431833,0.004727515750359861,0.011030870084173009,4.191523625757195
AFG,0.0,0.021188488759877586,0.005608717612908773,0.004673931344090644,0.010905839802878169,3.1159542293937625
OMA,0.0,0.02084955795030697,0.005519000633904786,0.004599167194920655,0.010731390121481528,3.497143492482089
ARU,0.0,0.02077610738000516,0.0054995578358837185,0.004582964863236432,0.010693584680885009,3.387220586564684
FSM,0.0,0.02062018053372887,0.005458283082457641,0.004548569235381368,0.010613328215889858,3.3470697075029916
SLE,0.0,0.020547269060379184,0.0054389829865709605,0.004532485822142467,0.010575800251665757,3.0216572147616447
LCA,0.0,0.020427172709467284,0.005407192776035458,0.004505993980029548,0.010513985953402279,3.380093717053178
SUR,0.0,0.020335670727820113,0.0053829716632465005,0.004485809719372084,0.010466889345201529,3.366637543281536
LBR,0.0,0.020094044139257666,0.005319011683921147,0.004432509736600956,0.010342522718735564,2.9550064910673037
TOG,0.0,0.019521767714925267,0.005167526748068453,0.004306272290057044,0.01004796867679977,3.1942783476976007
SKN,0.0,0.018726449652627368,0.004957001378636656,0.0041308344821972135,0.009638613791793498,4.478017771604753
BIZ,0.0,0.018319092434040715,0.0048491715266578365,0.004040976272214864,0.009428944635168015,2.693984181476576
VIN,0.0,0.017141471267178604,0.004537448276606101,0.003781206897171751,0.008822816093400751,2.896902328481314
COM,0.0,0.017136569375304653,0.004536150716992407,0.003780125597493673,0.00882029306081857,2.951115760864101
VAN,0.0,0.0169852443050733,0.004496094080754697,0.0037467450672955807,0.008742405157023021,2.928862074065373
LAO,0.0,0.016920619363224823,0.004478987478500689,0.0037324895654172407,0.008709142319306895,2.91935840614648
MHL,0.0,0.016784255622840055,0.004442891194281191,0.0037024093285676594,0.008638955099991205,2.7917030400380107
STP,0.0,0.016389303191852802,0.004338344962549271,0.0036152874687910594,0.008435670760512472,2.410191645860706
